Date,Open,High,Low,Close,Adj Close,Volume
2022-01-24,160.08,160.87,154.69,158.99,158.99,28048.0
2022-01-25,159.26,162.72,157.02,160.91,160.91,25783.0
2022-01-26,163.41,164.36,157.81,158.97,158.97,24252.0
2022-01-27,162.69,163.81,158.28,159.54,159.54,25448.0
2022-01-28,166.24,169.68,162.8,169.67,169.67,26129.0
2022-01-31,170.86,174.13,169.52,173.9,173.9,22452.0
2022-02-01,173.48,174.45,172.3,174.19,174.19,22802.0
2022-02-02,174.04,175.68,173.33,175.59,175.59,22548.0
2022-02-03,175.08,176.21,173.85,174.02,174.02,22879.0
2022-02-04,171.22,174.08,170.7,173.24,173.24,23383.0
2022-02-07,172.53,173.93,171.53,171.69,171.69,21765.0
2022-02-08,172.16,175.27,171.44,174.46,174.46,20102.0
2022-02-09,176.02,176.63,174.89,175.78,175.78,17590.0
2022-02-10,174.25,175.47,172.1,172.19,172.19,22792.0
2022-02-11,172.59,173.04,168.03,168.44,168.44,24217.0
2022-02-14,168.11,169.55,166.56,168.99,168.99,23736.0
2022-02-15,170.66,172.34,170.24,172.22,172.22,17727.0
2022-02-16,171.77,173.33,170.05,172.95,172.95,18813.0
2022-02-17,170.94,171.9,168.89,169.3,169.3,17735.0
2022-02-18,170.21,170.52,166.2,167.63,167.63,21484.0
2022-02-22,165.27,166.66,162.15,164.52,164.52,20138.0