"filename", "language", "Typst", "Markdown", "TOML", "comment", "blank", "total"
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\README.md", "Markdown", 0, 30, 0, 0, 12, 42
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\draw\draw.typ", "Typst", 92, 0, 0, 11, 20, 123
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\draw\lib.typ", "Typst", 2, 0, 0, 0, 0, 2
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\draw\std-style.typ", "Typst", 15, 0, 0, 0, 2, 17
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\edge\auto-mode.typ", "Typst", 8, 0, 0, 9, 1, 18
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\edge\draw-edge.typ", "Typst", 149, 0, 0, 1, 37, 187
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\edge\edge.typ", "Typst", 23, 0, 0, 2, 5, 30
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\edge\get-connection-points.typ", "Typst", 100, 0, 0, 4, 23, 127
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\edge\lib.typ", "Typst", 2, 0, 0, 0, 0, 2
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\edge\resolve-type.typ", "Typst", 23, 0, 0, 17, 4, 44
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\knot\draw-knot.typ", "Typst", 5, 0, 0, 0, 2, 7
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\knot\knot.typ", "Typst", 7, 0, 0, 0, 1, 8
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\knot\lib.typ", "Typst", 2, 0, 0, 0, 0, 2
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\lib.typ", "Typst", 5, 0, 0, 0, 0, 5
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\link\draw-link.typ", "Typst", 5, 0, 0, 0, 2, 7
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\link\lib.typ", "Typst", 1, 0, 0, 0, 0, 1
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\link\link.typ", "Typst", 0, 0, 0, 0, 1, 1
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\node\connection-points.typ", "Typst", 20, 0, 0, 0, 6, 26
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\node\connections.typ", "Typst", 188, 0, 0, 6, 39, 233
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\node\draw-node.typ", "Typst", 73, 0, 0, 4, 13, 90
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\node\lib.typ", "Typst", 2, 0, 0, 0, 0, 2
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\node\node.typ", "Typst", 18, 0, 0, 0, 1, 19
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\node\resolve-connection.typ", "Typst", 2, 0, 0, 0, 1, 3
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\node\resolve-pos.typ", "Typst", 5, 0, 0, 0, 0, 5
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\knot\node\resolve-stroke.typ", "Typst", 3, 0, 0, 0, 0, 3
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\lib.typ", "Typst", 1, 0, 0, 0, 1, 2
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\utils\match-dict.typ", "Typst", 13, 0, 0, 12, 13, 38
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\utils\resolve-relative.typ", "Typst", 22, 0, 0, 0, 9, 31
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\utils\resolve-to-2d.typ", "Typst", 5, 0, 0, 7, 0, 12
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\src\utils\rotations.typ", "Typst", 13, 0, 0, 0, 3, 16
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\tests\edge.typ", "Typst", 104, 0, 0, 1, 31, 136
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\tests\knot.typ", "Typst", 9, 0, 0, 0, 2, 11
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\tests\link.typ", "Typst", 1, 0, 0, 0, 1, 2
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\tests\node.typ", "Typst", 31, 0, 0, 0, 8, 39
"c:\Users\lcleu\Documents\Typst\Linkst\awds\packages\packages\preview\linkst\0.2.0\typst.toml", "TOML", 0, 0, 10, 0, 0, 10
"Total", "-", 949, 30, 10, 74, 238, 1301